date,year,month,lwe_thickness
2002-04,2002,4,9.01952411852326
2002-05,2002,5,10.365908278934047
2002-07,2002,7,-5.789035459742334
2002-08,2002,8,-9.926230617477714
2002-09,2002,9,-8.859980485821108
2002-10,2002,10,-10.24326020178328
2002-11,2002,11,-3.8417289442098204
2002-12,2002,12,1.749772405949571
2003-01,2003,1,7.73650776130012
2003-02,2003,2,15.053080068285158
2003-03,2003,3,21.185265501806455
2003-04,2003,4,21.920255644002683
2003-06,2003,6,8.13985332166972
2003-07,2003,7,2.3880260171516037
2003-08,2003,8,-2.8901748032362975
2003-09,2003,9,-8.304752643544287
2003-10,2003,10,-3.0413484260837613
2003-11,2003,11,7.232537770180656
2003-12,2003,12,9.35271459942018
2004-02,2004,2,21.72786604359606
2004-03,2004,3,19.89390399287688
2004-04,2004,4,20.148452716687697
2004-05,2004,5,14.87195450645127
2004-06,2004,6,8.35140647094547
2004-07,2004,7,4.228102495543792
2004-08,2004,8,-1.8400212225225465
2004-09,2004,9,-5.429106827810155
2004-10,2004,10,0.2486664275085282
2004-11,2004,11,7.326890179058613
2004-12,2004,12,5.198524099969121
2005-01,2005,1,18.49589329386546
2005-02,2005,2,23.568152221803725
2005-03,2005,3,19.253636414121097
2005-04,2005,4,18.783129202213427
2005-05,2005,5,10.986494546041836
2005-06,2005,6,4.955095498331673
2005-07,2005,7,0.8700214859295118
2005-08,2005,8,-3.377262797115859
2005-09,2005,9,-7.345498004440036
2005-10,2005,10,-7.224572305513391
2005-11,2005,11,-5.941759301817322
2005-12,2005,12,0.31567637900413303
2006-01,2006,1,17.528077977282816
2006-02,2006,2,18.631933896917044
2006-03,2006,3,21.034431675249582
2006-04,2006,4,16.347020413785703
2006-05,2006,5,11.605840303941058
2006-06,2006,6,0.382234739259051
2006-07,2006,7,-2.6904113035814223
2006-08,2006,8,-6.2584272777038565
2006-09,2006,9,-6.766117059714154
2006-10,2006,10,-2.522878685986654
2006-11,2006,11,0.46425060110728833
2006-12,2006,12,3.8374252580261756
2007-01,2007,1,9.100902938727417
2007-02,2007,2,9.812705443998935
2007-03,2007,3,16.66522447492282
2007-04,2007,4,16.018872549998218
2007-05,2007,5,10.224578769423124
2007-06,2007,6,3.420437361390016
2007-07,2007,7,-1.7833135868027865
2007-08,2007,8,-7.678544412618603
2007-09,2007,9,-10.30070500246299
2007-10,2007,10,-9.570151115110871
2007-11,2007,11,-8.885946031147473
2007-12,2007,12,-7.315237954448888
2008-01,2008,1,0.7741968950710052
2008-02,2008,2,5.7921669847109065
2008-03,2008,3,1.4537504454680596
2008-04,2008,4,-3.3577371612897196
2008-05,2008,5,-7.9651521299760955
2008-06,2008,6,-10.668791920615275
2008-07,2008,7,-14.65625646135845
2008-08,2008,8,-19.80612113204129
2008-09,2008,9,-20.672218104436606
2008-10,2008,10,-18.034753932090577
2008-11,2008,11,-16.589765408875724
