month,n_images,valid_days,year,gap_days,gap_fraction
10,31,19.381890597655648,2000,11.61810940234434,0.3747777226562287
11,30,19.89062904079953,2000,10.109370959200454,0.3369790319733413
12,31,10.140602580292502,2000,20.85939741970749,0.6728837877324833
1,31,14.944207938079826,2001,16.055792061920165,0.517928776190967
2,28,9.340961268504357,2001,18.659038731495635,0.6663942404105596
3,31,18.999829369638736,2001,12.00017063036127,0.3871022783987106
10,31,21.46089390068596,2001,9.539106099314038,0.3077130999778248
11,30,15.5055376103352,2001,14.494462389664802,0.4831487463221685
12,31,9.172806990224398,2001,21.827193009775595,0.7041030003153114
1,31,12.1620906806546,2002,18.8379093193454,0.6076744941724419
2,28,14.800875753928665,2002,13.199124246071326,0.4713972945025572
3,23,12.309659347101077,2002,10.690340652898923,0.4647974196912841
10,31,20.63551279559037,2002,10.364487204409627,0.3343382969163942
11,30,19.076065418686536,2002,10.923934581313445,0.3641311527104351
12,31,8.355754062403184,2002,22.64424593759681,0.7304595463740291
1,31,12.77975535973609,2003,18.22024464026392,0.5877498271053015
2,28,4.801235930073417,2003,23.198764069926582,0.8285272882116949
3,31,10.208986168910744,2003,20.791013831089245,0.6706778655189971
10,31,21.96197635680654,2003,9.038023643193451,0.291549149780381
11,30,17.074402367536177,2003,12.925597632463834,0.430853254415411
12,24,8.537231484587751,2003,15.462768515412234,0.6442820214755087
1,31,9.544984458330076,2004,21.45501554166992,0.6920972755377223
2,29,8.541523327625175,2004,20.45847667237482,0.705464712840551
3,31,16.929679146849388,2004,14.0703208531506,0.4538813178435382
10,31,24.17562731582147,2004,6.824372684178532,0.2201410543282593
11,30,12.53353333882322,2004,17.466466661176778,0.5822155553726048
12,31,15.130599032747236,2004,15.869400967252766,0.5119161602339566
1,31,11.959056152960946,2005,19.040943847039056,0.6142239950657798
2,28,11.34971618734244,2005,16.650283812657566,0.5946529933091945
3,31,15.51772905175723,2005,15.482270948242762,0.4994280951045644
10,31,23.75121252976845,2005,7.248787470231552,0.2338318538783676
11,30,19.523686325432845,2005,10.476313674567136,0.3492104558188924
12,31,19.751889689835856,2005,11.24811031016413,0.3628422680697679
1,31,8.428064799899223,2006,22.57193520010076,0.7281269419386914
2,28,8.283043390231603,2006,19.716956609768395,0.7041770217774566
3,31,15.55502583671978,2006,15.444974163280207,0.4982249730090037
10,31,16.76056572413447,2006,14.239434275865534,0.4593365895440096
11,30,20.310716622818823,2006,9.689283377181168,0.3229761125727031
12,31,19.107297732540868,2006,11.89270226745913,0.3836355570147856
1,31,14.058917865562073,2007,16.941082134437927,0.5464865204657259
2,28,10.437216008880853,2007,17.562783991119147,0.6272422853971278
3,31,13.791205666000264,2007,17.208794333999723,0.5551223978709484
10,31,21.913112580316,2007,9.086887419684002,0.2931254006349165
11,30,19.38409659371197,2007,10.615903406288028,0.353863446876255
12,31,13.907433616355837,2007,17.09256638364416,0.5513731091498176
1,31,14.219470312756862,2008,16.78052968724313,0.5413074092658976
2,29,11.583996914256089,2008,17.41600308574391,0.6005518305429363
3,31,17.507614150205672,2008,13.49238584979432,0.4352382532191355
10,31,20.7110049685513,2008,10.2889950314487,0.3319030655305687
11,30,19.915445863911,2008,10.084554136088988,0.3361518045362952
12,29,17.907788943164633,2008,11.09221105683536,0.3824900364425849
1,31,14.71407300184317,2009,16.285926998156825,0.5253524838115105
2,28,10.31101538408156,2009,17.688984615918432,0.6317494505685057
3,31,9.661414092869055,2009,21.33858590713094,0.6883414808751821
10,31,24.27510668388492,2009,6.724893316115078,0.21693204245526
11,30,16.0828298507772,2009,13.917170149222803,0.4639056716407185
12,31,9.92902728766519,2009,21.070972712334804,0.6797087971720783
1,31,9.174887656548464,2010,21.82511234345154,0.7040358820467937
2,28,7.552671047374039,2010,20.447328952625966,0.7302617483080635
3,31,10.705825757275012,2010,20.29417424272498,0.6546507820234159
10,31,22.97402026998332,2010,8.025979730016685,0.2589025719359745
11,30,28.347428806778414,2010,1.6525711932215787,0.0550857064407121
12,31,19.10609488638428,2010,11.89390511361572,0.3836743585037043
1,31,13.42943074639232,2011,17.570569253607683,0.5667925565680053
2,28,9.36128417283371,2011,18.63871582716629,0.6656684223988073
3,31,17.850112537726186,2011,13.14988746227382,0.4241899181378337
10,31,21.5136166943902,2011,9.486383305609788,0.3060123646970382
11,30,16.663303135122803,2011,13.3366968648772,0.4445565621625591
12,31,18.302807596843195,2011,12.697192403156798,0.4095868517147092
1,31,9.217960121109302,2012,21.7820398788907,0.7026464477061235
2,29,10.50875555136016,2012,18.49124444863984,0.6376291189186637
3,31,12.52659017406465,2012,18.47340982593533,0.5959164459979122
10,31,21.7499529373452,2012,9.250047062654804,0.2983886149242978
11,30,14.604981737882731,2012,15.395018262117274,0.5131672754039285
12,31,13.981270810352957,2012,17.01872918964705,0.5489912641821786
1,31,11.388254402308498,2013,19.6117455976915,0.6326369547642408
2,28,11.910836073107744,2013,16.089163926892258,0.5746129973890245
