season,t2m_ondjfm,tmin_ondjfm,tmax_ondjfm,td2m_ondjfm,isotherm0_m_ondjfm,lapse_K_per_m_ondjfm,snow_cover_ondjfm,precip_ondjfm,snowfall_ondjfm,pdd_ondjfm,t2m_djfm,tmin_djfm,tmax_djfm,td2m_djfm,isotherm0_m_djfm,lapse_K_per_m_djfm,snow_cover_djfm,precip_djfm,snowfall_djfm,pdd_djfm,snowfall_fraction_ondjfm,snowfall_fraction_djfm,swe_max
2001,7.140877031103135,-4.848264187893316,18.088388930946422,-0.22589378906010893,2743.347937661236,-0.004328212125461397,19.911116117791845,527.8115740939207,141.92960024819425,1310.922986813426,4.5831905391846846,-7.503430318737145,15.489150075321447,-0.5981937560611357,2177.8697077712654,-0.0042768392923623975,29.345120987182234,443.56040713682034,138.85446245031065,559.8373442238237,0.26890202340075775,0.3130452137209796,33.69020660243649
2002,6.861100710914816,-6.15545137510973,18.2723343756095,-0.6263845507788423,2665.2570885243254,-0.004432720436419179,23.357701952833605,722.450546020618,153.39485622107173,1276.4684450182474,3.8989123084981543,-8.199610143554423,13.887476982292839,-1.3048518021943067,1999.0684391421598,-0.004421922568480623,31.155451443874735,647.0151893693708,133.64649338264022,492.0432678947589,0.21232575304426995,0.20655850987501861,46.75844767684272
2003,6.2297017934282435,-5.853146038784814,17.341695074738464,-0.40827031330591507,2602.897964326952,-0.004335644752499622,33.23977887787891,862.601804753013,307.55640481232194,1143.959071627642,2.2906041565973823,-10.108841913205197,13.059804181482406,-1.7659427147574434,1610.4451694764043,-0.004497570963119606,49.7156452180537,789.2895559542702,305.6432853238447,278.79706153105246,0.35654505139875514,0.38723847670113226,132.4933510333557
2004,7.192119263292644,-5.864580547892132,18.73957590067035,0.46804390940562257,2801.453413013538,-0.00433694531358671,25.432125298677477,820.0817150479405,199.71446136568653,1323.1635566643022,4.1129777707223525,-8.96502263353581,15.04374815803267,-0.6144801718934332,2017.96680075469,-0.004470151134701018,37.76644906632844,622.3900115968867,197.2140128607137,503.77413692648474,0.24352995280965578,0.31686564563386094,78.36815728993729
2005,6.124282004689197,-6.566897433614865,18.10197529064963,-0.8340954209927437,2513.172983297684,-0.004376665623876805,34.377759698020725,722.2226375037135,236.81063783541418,1127.8333300067611,2.551614325668325,-9.334366418331754,14.411532735333594,-2.7181995260568357,1669.4974672906824,-0.004406739977797612,47.889703143906395,531.1464363366265,210.3624507195439,313.15171751841444,0.32789146384821893,0.39605358584430334,114.8748227696289
2006,7.244207739928773,-5.117192221748326,18.763283816494397,-0.7945184794087462,2757.294627180186,-0.004443218380150414,25.50993660242449,751.4997371353052,195.89365223995776,1329.675666033429,4.445232307234647,-7.767988292807189,15.356105126273448,-1.0717889507009062,2088.3739445397114,-0.004526673707874369,37.856937444348,693.549982204205,193.53456629116607,542.1285994681131,0.26067028710708345,0.2790491979771731,96.9402122800881
2007,5.518618573093572,-7.246609697860407,16.420191441481375,-0.625494398735763,2384.853791363879,-0.004269182264156399,26.854325155629486,687.7868922263091,179.1338102620916,1037.8014344238738,2.4102463773837712,-11.266805084257683,12.658914141629609,-2.7978091523295774,1634.2376563624862,-0.004316046886460863,39.3168205189344,416.45186336000546,175.06997675705696,316.6013348756343,0.26044958443777594,0.42038466425522075,79.94080764596772
2008,6.495005677067695,-6.429310928958813,18.369329159573095,-2.497396514948188,2571.772332914913,-0.004616327691907005,23.730012494911616,447.16312832520305,138.9962923508014,1277.906224329793,2.706129289768228,-10.052229210098488,14.836015247690298,-3.9455537447501996,1719.7873455063848,-0.004700759023682983,34.6900769556455,393.04667729548083,134.476471710333,414.8985301016118,0.3108402360261583,0.3421386809211914,52.47994809175265
2009,6.660512813705395,-4.0669764419667915,17.903132962551894,-0.5307396943792355,2636.0619030825146,-0.00436590911437079,17.668987709407794,503.1984160485763,125.11912208064955,1218.341103953831,3.5570988851663827,-7.711104078551585,15.012509120661889,-2.5514419033454203,1897.263059242674,-0.004418385526892834,26.377710011146995,399.12150814812844,123.61525171649019,429.2251888162615,0.2486476866583999,0.3097183418905405,34.39294264053657
2010,8.616366920955661,-3.05316296753792,20.194372678365472,1.939149538473335,3148.2012332452655,-0.004235717378454683,12.114694167149883,818.411093442741,97.17782953579415,1579.8828862043865,6.359352313034009,-5.647531526281313,17.855768460162253,1.70675820675811,2589.065599909857,-0.004294673458672541,17.530355577803714,592.0141096531845,93.80409272372096,774.2347134498152,0.118739628915591,0.15844908287519288,21.607437546392568
