year,month,NAO,EA,WP,EPNP,PNA,EAWR,SCAND,TNH,POL,PT,AO,NINO34,DMI,AMO,NCP,MOI
1870,1,,,,,,,,,,,,,-0.438,,,
1870,2,,,,,,,,,,,,,-0.337,,,
1870,3,,,,,,,,,,,,,0.177,,,
1870,4,,,,,,,,,,,,,-0.048,,,
1870,5,,,,,,,,,,,,,-0.48,,,
1870,6,,,,,,,,,,,,,-0.548,,,
1870,7,,,,,,,,,,,,,-0.65,,,
1870,8,,,,,,,,,,,,,-0.522,,,
1870,9,,,,,,,,,,,,,-0.728,,,
1870,10,,,,,,,,,,,,,-0.636,,,
1870,11,,,,,,,,,,,,,-0.401,,,
1870,12,,,,,,,,,,,,,-0.376,,,
1871,1,,,,,,,,,,,,,-0.273,,,
1871,2,,,,,,,,,,,,,-0.17,,,
1871,3,,,,,,,,,,,,,-0.212,,,
1871,4,,,,,,,,,,,,,-0.148,,,
1871,5,,,,,,,,,,,,,-0.115,,,
1871,6,,,,,,,,,,,,,-0.163,,,
1871,7,,,,,,,,,,,,,-0.444,,,
1871,8,,,,,,,,,,,,,-0.375,,,
1871,9,,,,,,,,,,,,,-0.336,,,
1871,10,,,,,,,,,,,,,-0.527,,,
1871,11,,,,,,,,,,,,,-0.217,,,
1871,12,,,,,,,,,,,,,-0.229,,,
1872,1,,,,,,,,,,,,,-0.037,,,
1872,2,,,,,,,,,,,,,0.041,,,
1872,3,,,,,,,,,,,,,-0.075,,,
1872,4,,,,,,,,,,,,,-0.083,,,
1872,5,,,,,,,,,,,,,-0.148,,,
1872,6,,,,,,,,,,,,,-0.083,,,
1872,7,,,,,,,,,,,,,-0.285,,,
1872,8,,,,,,,,,,,,,-0.325,,,
1872,9,,,,,,,,,,,,,-0.333,,,
1872,10,,,,,,,,,,,,,-0.27,,,
1872,11,,,,,,,,,,,,,-0.106,,,
1872,12,,,,,,,,,,,,,-0.11,,,
1873,1,,,,,,,,,,,,,0.063,,,
1873,2,,,,,,,,,,,,,-0.319,,,
