date,ym,year,month,season,season_label,season_month,sca,sle,sdi,scv
2000-10-01,2000-10,2000,10,2001,2000/01,1,1.682,3114.192,0.1,0.36
2000-11-01,2000-11,2000,11,2001,2000/01,2,101.711,2879.569,0.679,1.628
2000-12-01,2000-12,2000,12,2001,2000/01,3,4434.039,1831.175,8.373,8.807
2001-01-01,2001-01,2001,1,2001,2000/01,4,6367.939,1670.575,16.73,13.073
2001-02-01,2001-02,2001,2,2001,2000/01,5,5937.02,1716.945,13.804,9.868
2001-03-01,2001-03,2001,3,2001,2000/01,6,1539.069,2235.564,3.603,2.412
2001-10-01,2001-10,2001,10,2002,2001/02,1,0.0,,0.063,0.258
2001-11-01,2001-11,2001,11,2002,2001/02,2,2039.249,2045.117,4.777,8.282
2001-12-01,2001-12,2001,12,2002,2001/02,3,3357.011,1937.128,8.102,4.683
2002-01-01,2002-01,2002,1,2002,2001/02,4,13520.546,1392.264,28.805,16.959
2002-02-01,2002-02,2002,2,2002,2001/02,5,6483.284,1672.87,14.244,10.638
2002-03-01,2002-03,2002,3,2002,2001/02,6,2071.406,2132.155,5.057,1.971
2002-10-01,2002-10,2002,10,2003,2002/03,1,0.0,,0.078,0.288
2002-11-01,2002-11,2002,11,2003,2002/03,2,255.899,2764.486,0.688,1.204
2002-12-01,2002-12,2002,12,2003,2002/03,3,12274.308,1415.245,21.961,20.064
2003-01-01,2003-01,2003,1,2003,2002/03,4,7468.339,1640.942,17.864,7.872
2003-02-01,2003-02,2003,2,2003,2002/03,5,9727.993,1525.683,21.724,9.711
2003-03-01,2003-03,2003,3,2003,2002/03,6,5980.537,1743.305,15.672,7.144
2003-10-01,2003-10,2003,10,2004,2003/04,1,0.0,,0.076,0.334
2003-11-01,2003-11,2003,11,2004,2003/04,2,262.645,2800.23,0.819,1.252
2003-12-01,2003-12,2003,12,2004,2003/04,3,2306.095,2043.363,5.583,5.642
2004-01-01,2004-01,2004,1,2004,2003/04,4,5990.419,1755.684,15.228,5.834
2004-02-01,2004-02,2004,2,2004,2003/04,5,9445.644,1524.164,21.983,14.912
2004-03-01,2004-03,2004,3,2004,2003/04,6,1751.512,2191.267,4.121,1.772
2004-10-01,2004-10,2004,10,2005,2004/05,1,0.0,,0.019,0.088
2004-11-01,2004-11,2004,11,2005,2004/05,2,2368.451,2016.887,5.346,8.238
2004-12-01,2004-12,2004,12,2005,2004/05,3,4190.51,1863.517,9.806,6.69
2005-01-01,2005-01,2005,1,2005,2004/05,4,9710.724,1542.754,20.493,18.036
2005-02-01,2005-02,2005,2,2005,2004/05,5,15640.946,1339.424,33.883,17.839
2005-03-01,2005-03,2005,3,2005,2004/05,6,2425.454,2082.198,6.004,2.57
2005-10-01,2005-10,2005,10,2006,2005/06,1,6.577,2990.834,0.074,0.258
2005-11-01,2005-11,2005,11,2006,2005/06,2,499.604,2616.702,1.163,1.64
2005-12-01,2005-12,2005,12,2006,2005/06,3,1018.571,2291.127,5.181,9.938
2006-01-01,2006-01,2006,1,2006,2005/06,4,10319.092,1517.363,23.503,12.932
2006-02-01,2006-02,2006,2,2006,2005/06,5,7655.404,1633.573,19.568,7.71
2006-03-01,2006-03,2006,3,2006,2005/06,6,2873.234,1981.339,6.979,2.991
2006-10-01,2006-10,2006,10,2007,2006/07,1,0.623,2479.736,0.197,0.735
2006-11-01,2006-11,2006,11,2007,2006/07,2,859.029,2425.379,2.42,3.672
2006-12-01,2006-12,2006,12,2007,2006/07,3,1018.773,2313.166,6.542,13.719
2007-01-01,2007-01,2007,1,2007,2006/07,4,13222.46,1394.675,30.915,10.095
2007-02-01,2007-02,2007,2,2007,2006/07,5,8703.829,1568.565,21.363,9.715
2007-03-01,2007-03,2007,3,2007,2006/07,6,3205.232,1968.712,8.007,4.348
2007-10-01,2007-10,2007,10,2008,2007/08,1,0.0,,0.051,0.227
2007-11-01,2007-11,2007,11,2008,2007/08,2,393.888,2530.484,1.128,2.07
2007-12-01,2007-12,2007,12,2008,2007/08,3,2107.133,2094.022,5.387,4.15
2008-01-01,2008-01,2008,1,2008,2007/08,4,6639.607,1597.381,13.749,10.125
2008-02-01,2008-02,2008,2,2008,2007/08,5,10474.849,1526.277,22.967,11.753
2008-03-01,2008-03,2008,3,2008,2007/08,6,1918.029,2171.761,4.384,3.289
2008-10-01,2008-10,2008,10,2009,2008/09,1,0.0,,0.141,0.595
2008-11-01,2008-11,2008,11,2009,2008/09,2,341.868,2721.824,0.937,0.894
2008-12-01,2008-12,2008,12,2009,2008/09,3,1272.91,2244.769,3.041,3.64
2009-01-01,2009-01,2009,1,2009,2008/09,4,7468.927,1567.748,17.72,10.95
2009-02-01,2009-02,2009,2,2009,2008/09,5,2647.369,2047.066,6.314,3.537
2009-03-01,2009-03,2009,3,2009,2008/09,6,2544.314,2060.425,6.241,3.277
2009-10-01,2009-10,2009,10,2010,2009/10,1,0.0,,0.018,0.084
2009-11-01,2009-11,2009,11,2010,2009/10,2,944.856,2395.734,1.985,2.708
2009-12-01,2009-12,2009,12,2010,2009/10,3,1950.996,2169.856,4.711,3.274
2010-01-01,2010-01,2010,1,2010,2009/10,4,2118.902,2132.248,6.778,5.763
2010-02-01,2010-02,2010,2,2010,2009/10,5,2827.313,2021.713,8.268,6.947
2010-03-01,2010-03,2010,3,2010,2009/10,6,1068.557,2371.523,3.029,2.591
2010-10-01,2010-10,2010,10,2011,2010/11,1,0.0,,0.082,0.351
2010-11-01,2010-11,2010,11,2011,2010/11,2,23.588,3047.596,0.072,0.123
2010-12-01,2010-12,2010,12,2011,2010/11,3,885.558,2352.707,1.875,3.135
2011-01-01,2011-01,2011,1,2011,2010/11,4,6270.047,1650.545,12.452,9.022
2011-02-01,2011-02,2011,2,2011,2010/11,5,8634.308,1571.765,21.208,7.397
2011-03-01,2011-03,2011,3,2011,2010/11,6,2343.992,2082.765,5.57,2.845
2011-10-01,2011-10,2011,10,2012,2011/12,1,0.0,,0.09,0.366
2011-11-01,2011-11,2011,11,2012,2011/12,2,937.952,2400.032,2.564,2.475
2011-12-01,2011-12,2011,12,2012,2011/12,3,1811.04,2125.089,4.371,4.541
2012-01-01,2012-01,2012,1,2012,2011/12,4,5502.339,1745.163,12.755,9.162
2012-02-01,2012-02,2012,2,2012,2011/12,5,10035.6,1535.982,24.09,9.689
2012-03-01,2012-03,2012,3,2012,2011/12,6,10993.864,1483.651,24.479,17.137
2012-10-01,2012-10,2012,10,2013,2012/13,1,0.031,3418.089,0.084,0.317
2012-11-01,2012-11,2012,11,2013,2012/13,2,292.823,2765.147,0.659,1.046
2012-12-01,2012-12,2012,12,2013,2012/13,3,2926.13,1980.185,6.29,5.127
2013-01-01,2013-01,2013,1,2013,2012/13,4,13741.03,1367.596,26.079,19.147
2013-02-01,2013-02,2013,2,2013,2012/13,5,5737.54,1752.887,14.43,7.224
2013-03-01,2013-03,2013,3,2013,2012/13,6,2378.89,2068.994,5.778,2.61
2013-10-01,2013-10,2013,10,2014,2013/14,1,0.0,,0.04,0.143
2013-11-01,2013-11,2013,11,2014,2013/14,2,111.272,2911.03,0.451,1.082
2013-12-01,2013-12,2013,12,2014,2013/14,3,9571.04,1502.877,18.345,13.691
2014-01-01,2014-01,2014,1,2014,2013/14,4,3652.11,1894.444,8.366,3.804
2014-02-01,2014-02,2014,2,2014,2013/14,5,2380.78,2074.52,6.027,3.581
2014-03-01,2014-03,2014,3,2014,2013/14,6,1422.53,2288.492,3.554,2.146
2014-10-01,2014-10,2014,10,2015,2014/15,1,30.748,3079.808,0.135,0.355
2014-11-01,2014-11,2014,11,2015,2014/15,2,999.858,2410.313,3.422,4.706
2014-12-01,2014-12,2014,12,2015,2014/15,3,2027.74,2152.78,5.185,3.47
2015-01-01,2015-01,2015,1,2015,2014/15,4,7169.01,1661.441,17.091,13.67
2015-02-01,2015-02,2015,2,2015,2014/15,5,3423.15,1943.633,9.102,7.572
2015-03-01,2015-03,2015,3,2015,2014/15,6,1897.25,2176.918,4.58,2.34
2015-10-01,2015-10,2015,10,2016,2015/16,1,0.0,,0.095,0.373
2015-11-01,2015-11,2015,11,2016,2015/16,2,734.408,2525.271,1.759,1.709
2015-12-01,2015-12,2015,12,2016,2015/16,3,2980.61,1974.672,7.836,7.756
2016-01-01,2016-01,2016,1,2016,2015/16,4,8867.53,1569.264,22.223,9.708
2016-02-01,2016-02,2016,2,2016,2015/16,5,4673.49,1825.241,11.408,4.49
2016-03-01,2016-03,2016,3,2016,2015/16,6,1816.94,2184.134,4.413,2.198
2016-10-01,2016-10,2016,10,2017,2016/17,1,0.0,,0.045,0.217
2016-11-01,2016-11,2016,11,2017,2016/17,2,125.827,2865.292,0.31,0.425
2016-12-01,2016-12,2016,12,2017,2016/17,3,5411.15,1745.203,11.438,12.036
2017-01-01,2017-01,2017,1,2017,2016/17,4,3788.98,1871.311,10.069,7.445
2017-02-01,2017-02,2017,2,2017,2016/17,5,8899.55,1587.59,20.545,11.04
2017-03-01,2017-03,2017,3,2017,2016/17,6,2559.65,2045.498,6.256,3.055
2017-10-01,2017-10,2017,10,2018,2017/18,1,0.0,,0.013,0.066
2017-11-01,2017-11,2017,11,2018,2017/18,2,344.679,2584.358,1.226,2.384
2017-12-01,2017-12,2017,12,2018,2017/18,3,2075.42,2100.715,4.98,5.297
2018-01-01,2018-01,2018,1,2018,2017/18,4,3251.94,1987.018,7.695,5.141
2018-02-01,2018-02,2018,2,2018,2017/18,5,2357.53,2090.912,5.622,2.258
2018-03-01,2018-03,2018,3,2018,2017/18,6,877.12,2468.885,2.182,1.245
2018-10-01,2018-10,2018,10,2019,2018/19,1,2.274,3198.083,0.092,0.292
2018-11-01,2018-11,2018,11,2019,2018/19,2,344.016,2725.204,1.138,1.858
2018-12-01,2018-12,2018,12,2019,2018/19,3,3007.08,1996.933,7.779,5.657
2019-01-01,2019-01,2019,1,2019,2018/19,4,9867.42,1539.899,22.845,11.252
2019-02-01,2019-02,2019,2,2019,2018/19,5,4164.53,1887.41,10.645,3.602
2019-03-01,2019-03,2019,3,2019,2018/19,6,4082.65,1907.86,10.593,3.287
