season,season_label,sca_mean,sca_max,sca_djfm,sca_peak_month,sca_centroid,melt_rate_feb_mar,sle_mean,sle_min,sle_djfm,sdi_mean,scv_mean
2001,2000/01,3063.5766666666664,6367.939,4569.51675,4,4.237883769842004,0.7407674220400134,2241.3366666666666,1670.575,1863.56475,7.214833333333334,6.0246666666666675
2002,2001/02,4578.582666666666,13520.546,6358.06175,4,4.116141727410841,0.6805004994382476,1835.9068,1392.264,1783.6042499999999,10.174666666666667,7.131833333333333
2003,2002/03,5951.1793333333335,12274.308,8862.794249999999,3,4.249333241400108,0.38522396140704457,1817.9322,1415.245,1581.29375,12.997833333333332,7.7138333333333335
2004,2003/04,3292.7191666666663,9445.644,4873.4175,5,4.512103750117368,0.8145693401106373,2062.9415999999997,1524.164,1878.6195,7.968333333333334,4.957666666666667
2005,2004/05,5722.680833333333,15640.946,7991.9085000000005,5,4.336801414605072,0.8449292005739295,1768.9559999999997,1339.424,1706.97325,12.591833333333334,8.910166666666667
2006,2005/06,3728.747,10319.092,5466.575250000001,4,4.507961611054151,0.6246789849366539,2171.823,1517.363,1855.8505,9.411333333333333,5.9115
2007,2006/07,4501.657666666667,13222.46,6537.5734999999995,4,4.458186513960449,0.6317446034383258,2025.0388333333333,1394.675,1811.2795,11.574,7.047333333333332
2008,2007/08,3588.9176666666663,10474.849,5284.9045,5,4.530150454830719,0.8168919666526935,1983.985,1526.277,1847.3602500000002,7.944333333333333,5.269
2009,2008/09,2379.2313333333336,7468.927,3483.38,4,4.404847209757101,0.0389273274711611,2128.3664000000003,1567.748,1980.002,5.732333333333333,3.8155
2010,2009/10,1485.104,2827.313,1991.442,5,4.126110023271097,0.6220591777422592,2218.2148,2021.713,2173.835,4.1315,3.561166666666667
2011,2010/11,3026.2488333333336,8634.308,4533.47625,5,4.682338580551842,0.7285257834212076,2141.0755999999997,1571.765,1914.4454999999998,6.8765,3.8121666666666663
2012,2011/12,4880.1325,10993.864,7085.71075,6,4.967746401694353,-0.09548646817330296,1857.9833999999998,1483.651,1722.47125,11.3915,7.228333333333334
2013,2012/13,4179.407333333334,13741.03,6195.8975,4,4.278486495134637,0.5853815398236876,2225.483,1367.596,1792.4155,8.886666666666667,5.911833333333334
2014,2013/14,2856.2886666666673,9571.04,4256.615000000001,3,3.7334685826572613,0.40249414057577776,2134.2726000000002,1502.877,1940.0832500000001,6.1305000000000005,4.0745
2015,2014/15,2591.2926666666667,7169.01,3629.2875,4,4.199253834444019,0.4457590231219783,2237.4821666666667,1661.441,1983.6930000000002,6.585833333333333,5.352166666666666
2016,2015/16,3178.8296666666665,8867.53,4584.6425,4,4.2022727651654606,0.6112241601030493,2015.7164,1569.264,1888.32775,7.955666666666666,4.372333333333334
2017,2016/17,3464.192833333333,8899.55,5164.8325,5,4.402019864463858,0.7123843340393615,2022.9788,1587.59,1812.4005000000002,8.1105,5.702999999999999
2018,2017/18,1484.448166666667,3251.94,2140.5025000000005,4,4.151233752520155,0.6279495913095486,2246.3776000000003,1987.018,2161.8825,3.619666666666667,2.731833333333334
2019,2018/19,3577.9950000000003,9867.42,5280.42,4,4.401896220276067,0.019661282305566213,2209.2315000000003,1539.899,1833.0255,8.848666666666666,4.324666666666666
2020,2019/20,3929.9198333333334,10190.02,5888.575,5,4.56780343992598,0.7470014779166283,2074.5281999999997,1510.423,1825.6555,9.188833333333333,5.7331666666666665
2021,2020/21,1973.9233333333332,4510.05,2862.64,4,4.358664723553938,0.614026435714587,2168.2388,1799.226,2039.57075,4.638,3.9158333333333335
2022,2021/22,4712.4158333333335,17550.03,7047.3099999999995,4,4.275210574052693,0.508237172237561,1986.8576,1280.424,1782.1337500000002,9.236166666666668,7.388166666666667
2023,2022/23,2119.2635,7914.79,3137.27875,5,4.813581856778703,0.7719269873237319,2434.7453333333333,1634.188,2095.81975,5.166333333333333,3.336
2024,2023/24,1934.4783333333335,4020.02,2774.3,4,4.5047713121625375,0.40036967167819504,2146.3376,1847.479,2056.177,4.919833333333333,3.2535000000000003
