year,month,NCP,MOI
1948,1,-1.4901853,-1.4204913
1948,2,1.0858272,0.38686675
1948,3,2.8554282,1.6634517
1948,4,0.03856182,-0.9832218
1948,5,-0.950632,-0.78303075
1948,6,-1.3168534,0.58606505
1948,7,0.24062973,1.2056509
1948,8,-0.7144635,0.81288975
1948,9,0.30296576,0.5376066
1948,10,0.3288409,-0.92464864
1948,11,1.07188,0.95274913
1948,12,1.7095416,-0.6703143
1949,1,0.66178995,0.6003827
1949,2,2.442419,1.1864063
1949,3,0.17342833,0.012007564
1949,4,-0.007536173,-0.4867006
1949,5,-0.6390544,-0.3666222
1949,6,-0.19368339,0.12056419
1949,7,0.36409855,1.2616994
1949,8,-0.07568669,1.2080209
1949,9,1.023483,-0.30530417
1949,10,0.62291974,0.060875654
1949,11,-1.2729311,-1.5345323
1949,12,-1.0715805,-0.42125624
1950,1,2.2898057,-0.58599705
1950,2,-0.5189843,0.22081983
1950,3,0.793086,0.12677097
1950,4,-2.2539582,-0.16968983
1950,5,0.2342611,-0.1101554
1950,6,0.2843883,0.5294397
1950,7,-0.059939086,0.8785883
1950,8,-0.18623412,0.12837446
1950,9,-0.68611145,0.37649202
1950,10,-0.16305694,-0.27212697
1950,11,-1.6029595,-0.33401516
1950,12,-1.9701426,-2.642242
1951,1,-0.79805124,-0.9219327
1951,2,-1.1039646,-1.6372437
1951,3,-1.8248847,-1.354517
1951,4,-1.9950327,-0.4235505
1951,5,-0.22244407,-0.8006331
1951,6,-0.65659815,0.3976758
1951,7,-0.25691843,0.9592166
1951,8,-1.5258675,0.3036251
1951,9,0.05141747,-0.059728622
1951,10,1.1253868,-1.2581625
1951,11,-0.93757105,-1.4564879
1951,12,-0.09728694,-0.06178975
1952,1,-1.1578094,-0.7018268
1952,2,-0.84281003,0.43561184
1952,3,0.22316533,-1.1172426
1952,4,0.46781653,-0.5193319
1952,5,-0.25114602,-0.053916693
1952,6,-0.68665814,0.4323268
1952,7,-0.48639333,0.7539567
1952,8,-0.7860851,0.4562949
1952,9,-1.1954745,0.2830748
1952,10,-0.7296828,-0.29742882
1952,11,-1.3728106,-0.6575611
1952,12,-0.8002217,-0.84752697
1953,1,0.96197414,-0.28438786
1953,2,0.84306854,0.016486764
1953,3,2.238755,0.7800666
1953,4,-1.7612175,-0.8736867
1953,5,0.14725822,0.10558936
1953,6,-0.19438064,-0.36226642
1953,7,-1.1687651,1.3478379
1953,8,-0.9052396,1.3185928
1953,9,0.30070543,0.287833
1953,10,1.1514969,-0.3084301
1953,11,1.3994638,0.42007184
1953,12,1.2305794,-1.1386378
1954,1,0.5945265,-0.61262727
1954,2,0.3461603,-1.3566475
1954,3,-0.75852823,-1.4911976
1954,4,-0.16505036,-0.28441536
1954,5,-0.59892184,-0.0048211217
1954,6,-0.8234464,0.47541255
1954,7,-1.5949882,1.7009183
1954,8,-0.7224686,1.0777106
1954,9,-1.1483257,0.98401856
1954,10,-0.09980833,0.74420315
1954,11,-0.9347933,-0.8105432
1954,12,-1.35715,0.098104
1955,1,-0.4356168,-2.479774
1955,2,-1.3545569,-2.1506581
1955,3,0.1476785,-1.267249
1955,4,0.43905118,0.5195938
1955,5,-1.4346399,0.12263156
1955,6,-0.72679347,0.9852224
1955,7,1.1577264,0.7937468
1955,8,1.0342478,0.9699519
1955,9,-0.009133041,0.54238635
1955,10,-0.7535488,-0.43671358
1955,11,1.630427,-0.33950034
1955,12,0.77686226,0.0025205612
1956,1,-0.605133,-1.0770392
1956,2,0.26080042,-1.3920187
1956,3,0.2400999,-0.692227
1956,4,-0.76897144,-1.3655051
