model,target,n,r2,adj_r2,beta_t2m_djfm,vif_t2m_djfm,lmg_t2m_djfm,beta_precip_ondjfm,vif_precip_ondjfm,lmg_precip_ondjfm,beta_snowfall_fraction_ondjfm,vif_snowfall_fraction_ondjfm,lmg_snowfall_fraction_ondjfm,beta_AMO_DJF,vif_AMO_DJF,lmg_AMO_DJF
T+P,sca_mean,24,0.6635430461184522,0.6314995267011618,-0.8098985197002471,1.0193344556519548,0.6220871695596856,0.2531365821588599,1.0193344556519548,0.04145587655876659,,,,,,
T+P,sca_max,24,0.4796266770600093,0.4300673129704864,-0.6978196643688279,1.0193344556519548,0.46908209745716206,0.13981842804794264,1.0193344556519548,0.01054457960284727,,,,,,
T+P,sle_mean,24,0.5355544792189225,0.49132157247786756,0.7379859011576065,1.0193344556519548,0.5256961961839444,-0.1371562317325148,1.0193344556519548,0.009858283034978155,,,,,,
T+P,sle_djfm,24,0.7318763820546622,0.7063407993932015,0.8495806024915286,1.0193344556519548,0.6839054840435933,-0.27121424196777477,1.0193344556519548,0.0479708980110688,,,,,,
T+P,sdi_mean,24,0.7220844219658229,0.6956162716768537,-0.8284093850468681,1.0193344556519548,0.6425880387544289,0.33508712754836323,1.0193344556519548,0.0794963832113939,,,,,,
T+P,scv_mean,24,0.49784248974185186,0.4500179649553615,-0.7123493376314634,1.0193344556519548,0.49260555175214393,0.103198634741959,1.0193344556519548,0.005236937989707924,,,,,,
T+P,sca_centroid,24,0.06888995188784786,-0.019787195551404846,-0.2223475011581316,1.0193344556519548,0.05252374415457667,-0.11216857209369399,1.0193344556519548,0.016366207733271187,,,,,,
T+P,melt_rate_feb_mar,24,0.1317789038319015,0.04909118038732074,0.22907125064863648,1.0193344556519548,0.042981249781436415,-0.3149220179333773,1.0193344556519548,0.08879765405046497,,,,,,
T+P+snowfall fraction,sca_mean,24,0.7765366758394692,0.7430171772153895,-0.2745184432687016,3.5560422943818604,0.3246010700169124,0.3938023452146766,1.1944492558838733,0.08860638922546978,0.6634426190075416,3.8954064030188165,0.3633292165970869,,,
T+P+snowfall fraction,sca_max,24,0.5052488481150195,0.43103617533227234,-0.4428766076668995,3.5560422943818604,0.2657822734134951,0.20680216761066128,1.1944492558838733,0.026837596136025637,0.31592525886185496,3.8954064030188165,0.21262897856549876,,,
T+P+snowfall fraction,sle_mean,24,0.5622574757426522,0.49659609710405006,0.4777212270288992,3.5560422943818604,0.2989971556114992,-0.20553817307558075,1.1944492558838733,0.026673771930971885,-0.3225198034823998,3.8954064030188165,0.23658654820018107,,,
T+P+snowfall fraction,sle_djfm,24,0.8316355563390541,0.8063808897899122,0.3465300290971237,3.5560422943818604,0.3629540157822652,-0.40338575128847654,1.1944492558838733,0.09621745508556527,-0.6233799212898106,3.8954064030188165,0.3724640854712236,,,
T+P+snowfall fraction,sdi_mean,24,0.8174384224561936,0.7900541858246226,-0.3365910847588671,3.5560422943818604,0.34148351073472333,0.464307469395866,1.1944492558838733,0.13425098119614987,0.6094608962547553,3.8954064030188165,0.34170393052532044,,,
T+P+snowfall fraction,scv_mean,24,0.6446982660475573,0.5914030059546909,-0.1019968174290411,3.5560422943818604,0.24879398099510985,0.2635626579225866,1.1944492558838733,0.03272527308927192,0.7563484192761588,3.8954064030188165,0.36317901196317554,,,
T+P+snowfall fraction,sca_centroid,24,0.24268760002815504,0.12909074003237841,0.44163582422763337,3.5560422943818604,0.05381649256511856,0.062286409018531885,1.1944492558838733,0.009937679730776009,0.8228076758242862,3.8954064030188165,0.17893342773226042,,,
T+P+snowfall fraction,melt_rate_feb_mar,24,0.13225396989323224,0.002092065377217067,0.2637858556686087,3.5560422943818604,0.0345577906551072,-0.3058011024953893,1.1944492558838733,0.08682759513546434,0.04301831443891516,3.8954064030188165,0.010868584102660783,,,
T+P+AMO_DJF,sca_mean,23,0.6566824012028475,0.6024743592875077,-0.7920576374387781,1.0301492101584147,0.590467889714056,0.2719298616662259,1.0050556029909194,0.06027313574588985,,,,0.11157517524384938,1.0259074739553509,0.005941375742901674
T+P+AMO_DJF,sca_max,23,0.5115126964748115,0.4343831222339922,-0.6969533500459251,1.0301492101584147,0.44277455148481476,0.1785358305211373,1.0050556029909194,0.023824474249431755,,,,0.26323869657176424,1.0259074739553509,0.04491367074056488
T+P+AMO_DJF,sle_mean,23,0.5741560436796715,0.5069175242606723,0.7662957656625886,1.0301492101584147,0.5550741100799891,-0.1085133790683267,1.0050556029909194,0.007274374621959438,,,,-0.15323435286641215,1.0259074739553509,0.01180755897772299
T+P+AMO_DJF,sle_djfm,23,0.7173787849173136,0.6727543825358367,0.8208302609362209,1.0301492101584147,0.6457180146454121,-0.2824999359211964,1.0050556029909194,0.06552011399121722,,,,-0.02300616610963406,1.0259074739553509,0.006140656280684091
T+P+AMO_DJF,sdi_mean,23,0.7212711952228918,0.6772613839422958,-0.8063541505126797,1.0301492101584147,0.60841113360486,0.35453923694264544,1.0050556029909194,0.10708002629093732,,,,0.10990348124866862,1.0259074739553509,0.005780035327094461
T+P+AMO_DJF,scv_mean,23,0.47173309513889716,0.38832253121345983,-0.6924640918341465,1.0301492101584147,0.4580184804926429,0.12167251835560466,1.0050556029909194,0.010061029148652626,,,,0.08325545613147797,1.0259074739553509,0.0036535854976016044
T+P+AMO_DJF,sca_centroid,23,0.1450544980673828,0.010063103025390596,-0.30925060932442,1.0301492101584147,0.08821793080215161,-0.1521319998917902,1.0050556029909194,0.02704905051099103,,,,0.19514332840383217,1.0259074739553509,0.029787516754240184
T+P+AMO_DJF,melt_rate_feb_mar,23,0.508364070957324,0.43073734531900687,0.16063841994979627,1.0301492101584147,0.041980450803685086,-0.26342168920521214,1.0050556029909194,0.06952362348195723,,,,0.6185340152320662,1.0259074739553509,0.3968599966716817
