season,onset_month,peak_month,meltout_month,duration_months,centroid
2001,3,4,6,4,4.237883769842004
2002,2,4,6,5,4.116141727410841
2003,3,3,6,4,4.249333241400108
2004,3,5,6,4,4.512103750117368
2005,2,5,6,5,4.336801414605072
2006,4,4,6,3,4.507961611054151
2007,4,4,6,3,4.458186513960449
2008,3,5,6,4,4.530150454830719
2009,3,4,6,4,4.404847209757101
2010,2,5,6,5,4.126110023271097
2011,3,5,6,4,4.682338580551842
2012,3,6,6,4,4.967746401694353
2013,3,4,6,4,4.278486495134637
2014,3,3,6,4,3.7334685826572613
2015,2,4,6,5,4.199253834444019
2016,3,4,6,4,4.2022727651654606
2017,3,5,6,4,4.402019864463858
2018,2,4,6,5,4.151233752520155
2019,3,4,6,4,4.401896220276067
2020,3,5,6,4,4.56780343992598
2021,3,4,6,4,4.358664723553938
2022,3,4,6,4,4.275210574052693
2023,3,5,6,4,4.813581856778703
2024,2,4,6,5,4.5047713121625375
